Requirements #,Visible in VNF package,TOSCA Resource Data Model element or CSAR artifact,"Testable by VNFSDK, VVP or SDC for Beijing release"
R-01478,Y,"**tosca.capabilities.nfv.Metric** - type for monitoring 

**monitoring_parameter** of above type per VNF/VDU/Vlink

- Note: currently the Metric node definition is empty. Need more discussion in modeling team",N
R-04298,Y,Testing directory in CSAR supported by ETSI SOL004,Y
R-07879,Y,"The playbooks should be located in a dedicated CSAR directory and may be referred in VNF-D LCM constructs 

- Note: if VNF vendor support this,VNF Package/Descriptor should contain this, otherwise, VNF vendor could ignore this",N
R-13390,Y-cond.,"The cookbooks should be located in a dedicated CSAR directory and may be referred in VNF-D LCM. 

- Note: if VNF vendor support this, VNF Package/Descriptor should contain this, otherwise,VNF vendor could ignore this. constructs",N
R-16065,Y,"**tosca.datatypes.nfv.VnfcConfigurableProperties**
 
**tosca.datatypes.nfv.VnfConfigurableProperties**",N
R-16777,Y,The JSON files should be located in a dedicated CSAR directory and should be referred by VNF-D LCM actions,N
R-18525,Y,Same as R-16777,N
R-22888,Y,"This should be handled in conjunction with TOSCA policy constructs in VNF-D (element group, affinity/anti-affinity etc.) - TBD in ETSI SOL001",N
R-23823,Y,"The credentials should be located in a dedicated CSAR directory and their content may be encrypted using a symmetric encryption approach as specified in ETSI SOL004

- Note: if VNF vendor support this,VNF Package/Descriptor should contain this, otherwise, VNF vendor could ignore this",N
R-25238,Y,The YANG code should be located in a dedicated CSAR directory for YANG code and may be referred by TOSCA LCM constructs in VNF-D,N
R-26567,Y,"All run-time scripts should be located in a dedicated CSAR directory for YANG code and should be referred by TOSCA LCM within  VNF-D when VNF action is required 

- Note: if VNF vendor support this, VNF Package/Descriptor should contain this, otherwise, VNF vendor could ignore this",N
R-26881,Y,"Local artifact in CSAR:

ROOT\\Artifacts\\ **VNF_Image.bin**
or external referred in Manifest file/VNF Descriptor

- Note: Currently, ONAP doesn't have the capability of Image management, we upload the image into VIM/VNFM manually.",N
R-27310,Y,Similar to R-26567,N
R-27711,Y,The XML file should be located in a CSAR directory dedicated to the run-time VNF actions the errors correspond to,N
R-30278,Y,The YANG model should be located in a dedicated CSAR directory for YANG configuration code,N
R-30654,Y,"Interface construct 
**tosca.interfaces.nfv.vnf.lifecycle.Nfv** with a list of standard LCM operations described in CSAR directory for example ROOT\\Artifacts\\Informational*Install.csh*",N
R-35851,Y,"**tosca.nodes.nfv.VNF**

**tosca.nodes.nfv.VduCp**

**tosca.nodes.nfv.VnfExtCp**

**tosca.nodes.nfv.VnfVirtualLink**

in YAML files as part of CSAR

- Note: tosca.nodes.nfv.VnfExtCp doesn't exist in ONAP DM.","PartialCurrently,VNF Package already have the topology of basic network and CP (both internal and external)."
R-37028,Y,"If ""one base module"" means a TOSCA main service template so the CSAR includes a **MainSreviceTemplate.yaml** file that is actually a VNF descriptor",N
R-40293,Y,The Ansible playbooks should be located in a dedicated CSAR directory,N
R-40827,Y,CSAR License directory as per ETSI SOL004for example ROOT\\Licenses\\ **License_term.txt**,N
R-46567,Y,The scripts should be located in the predefined directory in CSAR and be in sync with **boot_order** property in **tosca.nodes.nfv.Vdu.Compute**,N
R-58775,Y,The software components needed for testing should be located in the Testing directory within CSAR,N
R-66070,Y,Meta-data section in CSAR Manifest fie and the Meta-data section in VNF-D,Y
R-72184,Y,tosca.nodes.nfv.VduCp node type for connection points bind with VDU's should include all relevant properties such as **protocol_data etc.**,N
R-77707,Y,CSAR Manifest file as per SOL004for example ROOT\\ **MainServiceTemplate.mf**,Y
R-77786,Y,The cookbooks should be located in a predefined directory within a CSAR,N
R-86758,Y,Testing directory in CSARsupported by ETSI SOL004,N
