Requirement ID,Requirement,Test Module,Test Name
`R-00977 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/{network-role}.html#R-00977>`_,"A VNF's Heat Orchestration Template's ``{network-role}``
**MUST NOT** be a substring of ``{vm-type}``.",`test_nova_servers_vm_types <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_nova_servers_vm_types.py>`_,test_vm_type_network_role_collision
`R-01455 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/{vm-type}.html#R-01455>`_,"When a VNF's Heat Orchestration Template creates a Virtual Machine
(i.e., ``OS::Nova::Server``),
each ""class"" of VMs **MUST** be assigned a VNF unique
``{vm-type}``; where ""class"" defines VMs that
**MUST** have the following identical characteristics:

  1.) ``OS::Nova::Server`` resource property ``flavor`` value

  2.) ``OS::Nova::Server`` resource property ``image`` value

  3.) Cinder Volume attachments

    - Each VM in the ""class"" **MUST** have the identical Cinder Volume
      configuration

  4.) Network attachments and IP address requirements

    - Each VM in the ""class"" **MUST** have the identical number of
      ports connecting to the identical networks and requiring the identical
      IP address configuration.",`test_vm_class_has_unique_type <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_vm_class_has_unique_type.py>`_,test_vm_class_has_unique_type
`R-02164 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Contrail%20Resource%20Parameters.html#R-02164>`_,"When a VNF's Heat Orchestration Template's Contrail resource
has a property that
references an external network that requires the network's
Fully Qualified Domain Name (FQDN), the property parameter

* **MUST** follow the format ``{network-role}_net_fqdn``
* **MUST** be declared as type ``string``
* **MUST NOT** be enumerated in the VNF's Heat Orchestration Template's
  Environment File",`test_contrail_fqdn <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_contrail_fqdn.py>`_,test_contrail_fqdn
`R-02691 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-02691>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``workload_context``
parameter ``workload_context`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",`test_environment_file_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_parameters.py>`_,test_nova_server_workload_context_parameter_doesnt_exist_in_environment_file
`R-03324 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-03324>`_,"A VNF's Heat Orchestration template's Environment File **MUST**
contain the ``parameters:`` section.",`test_environment_file_structure <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_structure.py>`_,test_environment_file_contains_required_sections
`R-04697 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-04697>`_,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv4 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``comma_delimited_list``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_ips``

  where

  * ``{vm-type}`` is the {vm-type} associated with the
    ``OS::Nova::Server``
  * ``{network-role}`` is the {network-role} of the external
    network",`test_fixed_ips_include_vm_type_network_role <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_fixed_ips_include_vm_type_network_role.py>`_,test_fixed_ips_include_vm_type_network_role
`R-04747 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-04747>`_,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::CloudConfig``
Resource ID **MUST** contain the ``{vm-type}``.",`test_cloud_config_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_cloud_config_resource_id.py>`_,test_cloud_config
`R-05257 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-05257>`_,"A VNF's Heat Orchestration Template's **MUST NOT**
contain the Resource ``OS::Neutron::FloatingIP``.",`test_forbidden_resources <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_forbidden_resources.py>`_,test_neutron_floating_ip_resource_type
`R-07443 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Templates%20Overview.html#R-07443>`_,"A VNF's Heat Orchestration Templates' Cinder Volume Module Output
Parameter's name and type **MUST** match the input parameter name and type
in the corresponding Base Module or Incremental Module.",`test_volume_outputs_consumed <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_volume_outputs_consumed.py>`_,test_volume_outputs_consumed
`R-07507 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-07507>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property
``metadata`` key/value pair ``vnf_id`` parameter
**MUST** be declared as ``vnf_id`` and the parameter **MUST**
be defined as type: ``string``.",`test_server_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_server_parameters.py>`_,test_vnf_id_parameter_type_and_parameter_name
