Requirement ID,Requirement,Section,Keyword,Validation Mode,Is Testable,Test Module,Test Name
R-00011,"A VNF's Heat Orchestration Template's parameter defined
in a nested YAML file
**SHOULD NOT** have a parameter constraint defined.",constraints,SHOULD NOT,static,FALSE,,
R-00228,"A VNF's Heat Orchestration Template **MAY**
reference the nested heat statically by repeated definition.",Nested Heat Template Requirements,MAY,,FALSE,,
R-00606,"A VNF **MAY** be connected to zero, one or more than one external
network.",External Networks,MAY,,FALSE,,
R-00977,"A VNF's Heat Orchestration Template's ``{network-role}``
**MUST NOT** be a substring of ``{vm-type}``.",{network-role},MUST NOT,static,TRUE,tests.test_nova_servers_vm_types,test_vm_type_network_role_collision
R-01101,"A VNF's Heat Orchestration Template **MAY**
reference the nested heat dynamically using the resource
``OS::Heat::ResourceGroup``.",Nested Heat Template Requirements,MAY,,FALSE,,
R-01359,"A VNF's Heat Orchestration Template that contains an ``OS::Nova:Server``
Resource **MAY** define a parameter for the property
``availability_zone`` that is not utilized in any ``OS::Nova::Server``
resources in the Heat Orchestration Template.",Property: availability_zone,MAY,,FALSE,,
R-01455,"When a VNF's Heat Orchestration Template creates a Virtual Machine
(i.e., ``OS::Nova::Server``),
each ""class"" of VMs **MUST** be assigned a VNF unique
``{vm-type}``; where ""class"" defines VMs that
**MUST** have the following identical characteristics:

  1.) ``OS::Nova::Server`` resource property ``flavor`` value

  2.) ``OS::Nova::Server`` resource property ``image`` value

  3.) Cinder Volume attachments

    - Each VM in the ""class"" **MUST** have the identical Cinder Volume
      configuration

  4.) Network attachments and IP address requirements

    - Each VM in the ""class"" **MUST** have the identical number of
      ports connecting to the identical networks and requiring the identical
      IP address configuration.",{vm-type},MUST,static,TRUE,tests.test_vm_class_has_unique_type,test_vm_class_has_unique_type
R-01896,"A VNF's Heat Orchestration Template's parameter values that are constant
across all deployments **MUST** be declared in a Heat Orchestration
Template Environment File.",Scope of a Heat Orchestration Template,MUST,static,TRUE,,
R-02164,"When a VNF's Heat Orchestration Template's Contrail resource
has a property that
references an external network that requires the network's
Fully Qualified Domain Name (FQDN), the property parameter

* **MUST** follow the format ``{network-role}_net_fqdn``
* **MUST** be declared as type ``string``
* **MUST NOT** be enumerated in the VNF's Heat Orchestration Template's
  Environment File",External Networks,MUST,static,TRUE,tests.test_contrail_fqdn,test_contrail_fqdn
R-02691,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``workload_context``
parameter ``workload_context`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",workload_context,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_workload_context_parameter_doesnt_exist_in_environment_file
R-03251,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::CinderVolume``
**MAY** be defined in a Cinder Volume Module.",ONAP VNF Modularity Overview,MAY,,FALSE,,
R-03324,"A VNF's Heat Orchestration template's Environment File **MUST**
contain the ``parameters:`` section.",Environment File Format,MUST,static,TRUE,tests.test_environment_file_structure,test_environment_file_contains_required_sections
R-03595,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::SecurityGroup`` that
is applicable to more than one ``{vm-type}`` and one external network Resource ID
**SHOULD** use the naming convention

* ``{network-role}_security_group``

where

* ``{network-role}`` is the network-role",OS::Neutron::SecurityGroup,SHOULD,,FALSE,,
R-03656,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::SoftwareConfig``
Resource ID **MAY** use the naming convention

* ``{vm-type}_RSC``

where

* ``{vm-type}`` is the vm-type
* ``RSC`` signifies that it is the Resource Software Config",OS::Heat::SoftwareConfig,MAY,,FALSE,,
R-04344,"A VNF's Nested YAML file **MAY** be invoked by more than one of
a VNF's Heat Orchestration Templates (when the VNF is composed of two
or more Heat Orchestration Templates).",Nested Heat Template Requirements,MAY,,FALSE,,
R-04697,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv4 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``comma_delimited_list``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_ips``

  where

  * ``{vm-type}`` is the {vm-type} associated with the
    ``OS::Nova::Server``
  * ``{network-role}`` is the {network-role} of the external
    network","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-04747,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::CloudConfig``
Resource ID **MUST** contain the ``{vm-type}``.",OS::Heat::CloudConfig,MUST,static,TRUE,tests.test_cloud_config_resource_id,test_cloud_config
R-05050,"A VNF's Heat Orchestration Templates intrinsic function
``get_file`` <content key> **MAY** be used:

    * more than once in a VNF's Heat Orchestration Template
    * in two or more of a VNF's Heat Orchestration Templates
    * in a VNF's Heat Orchestration Templates nested YAML file",Heat Files Support (get_file),MAY,,FALSE,,
R-05201,"When a VNF connects to two or more unique networks, each
network **MUST** be assigned a unique ``{network-role}``
in the context of the VNF for use in the VNF's Heat Orchestration
Template.",{network-role},MUST,none,FALSE,,
R-05257,"A VNF's Heat Orchestration Template's **MUST NOT**
contain the Resource ``OS::Neutron::FloatingIP``.","VIP Assignment, External Networks, Supported by Automation",MUST NOT,static,TRUE,tests.test_forbidden_resources,test_neutron_floating_ip_resource_type
R-06613,"A VNF's Heat Orchestration Template's parameter defined
in a non-nested YAML file as type
``boolean`` **MAY** have a parameter constraint defined.",constraints,MAY,,FALSE,,
R-07443,"A VNF's Heat Orchestration Templates' Cinder Volume Module Output
Parameter's name and type **MUST** match the input parameter name and type
in the corresponding Base Module or Incremental Module.",ONAP Volume Module Output Parameters,MUST,static,TRUE,tests.test_volume_outputs_consumed,test_volume_outputs_consumed
R-07507,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property
``metadata`` key/value pair ``vnf_id`` parameter
**MUST** be declared as ``vnf_id`` and the parameter **MUST**
be defined as type: ``string``.",vnf_id,MUST,static,TRUE,tests.test_server_parameters,test_vnf_id_parameter_type_and_parameter_name
R-08775,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::SecurityGroup``
that is applicable to one ``{vm-type}`` and more than one network (internal
and/or external) Resource ID **SHOULD** use the naming convention

* ``{vm-type}_security_group``

where

* ``{vm-type}`` is the vm-type",OS::Neutron::SecurityGroup,SHOULD,,FALSE,,
R-08975,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::SoftwareConfig``
Resource ID **MUST** contain the ``{vm-type}``.",OS::Heat::SoftwareConfig,MUST,static,TRUE,tests.test_software_config_resource_id,test_software_config_vm_type
R-09811,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vf_module_index`` **MUST NOT**
have parameter constraints defined.",vf_module_index,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_vf_module_index_parameter_has_no_constraints
